Value00,Value01,Value02,Value03,Value04,Value05,Value06,Value07,Value08,Value09,TGT0,TGT1,TGT2,TGT3
0.74,-1.52,-2.62,0.96,-0.73,-0.01,-0.08,-1.71,1.71,-0.44,-176.23,-102.22,-195.41,-47.7
-1.64,-0.71,-0.25,0.72,-0.73,-0.49,0.28,0.95,0.54,-0.02,62.8,44.97,117.2,14.84
0.27,0.76,0.83,-0.5,-3.13,-1.38,0.81,-0.51,0.08,-0.72,30.48,-28.64,108.14,-14.39
0.01,0.44,-1.65,-0.08,-1.86,0.45,1.44,-0.83,-2.28,-0.83,106.9,-113.75,-203.44,-227.51
-0.04,0.28,-2.29,-1.91,-1.6,-0.74,-0.16,0.56,0.66,-0.63,-11.28,-156.93,-97.39,-191.87
-0.41,0.25,0.24,-0.95,1.4,-0.8,0.53,2.35,-1.28,0.86,298.32,246.24,290.32,88.22
-0.68,1.07,0.14,-0.75,-0.21,0.77,0.75,0.4,-1.78,0.99,363.56,191.59,111.73,69.1
0.45,0.64,1.31,-0.48,0.68,-0.14,-2.45,-1.12,-0.27,-0.59,-133.38,-26.38,0.34,80.6
-0.32,0.69,-0.58,0.52,0.14,-1.38,0.69,-1.58,0.61,-0.73,-44.51,-6.31,-27.22,-67.26
0.86,-0.24,-0.99,-0.85,0.86,-0.48,0.32,-1.49,1.46,0.25,9.03,76.99,-30.78,32.46
1.64,0.46,0.19,-0.94,-0.13,1.05,-1.25,1.4,-0.34,0.79,292.36,242.38,292.96,384.71
0.88,-0.65,1.67,2.6,-0.07,-1.44,0.86,-0.81,0.24,0.64,66.77,298.48,344.36,313.66
-0.72,0.62,-0.54,-0.1,-1.28,0.51,-2.35,-1.2,-0.6,0.14,-95.55,-138.15,-160.84,-94.32
0.9,0.01,1.09,0.59,-0.09,-1.75,1.25,-0.77,-1.16,2.84,246.05,360.37,280.21,143.03
-1.83,0.62,0.53,-0.08,-0.09,-0.54,-0.54,-1.24,0.74,0.82,29.98,63.85,16.15,-21.99
0.9,0.4,-0.34,1.42,-0.01,-1.08,-0.53,-1.52,0.18,0.84,-0.45,140.69,95.7,132.65
0.1,0.34,-0.65,0.79,0.63,1.19,-1.68,0.53,1.01,0.71,196.38,225.49,214.93,381.64
-1.83,1.81,-0.27,1.12,-0.09,-0.46,0.4,-1.14,0.13,-0.87,89.09,20.2,19.71,0.5
0.13,-0.82,-0.77,0.77,0.1,1.5,-0.61,-0.97,1.35,-1.49,-65.27,-24.09,-67.08,153.66
-0.73,0.34,0.89,0.66,0.54,0.92,-0.69,-0.11,1.85,0.49,202.03,264.94,283.71,407.83
1.03,-0.99,1.02,-1.37,0.26,-0.9,-1.58,-0.39,1.41,0.26,-150.13,28.76,88.99,79.52
0.91,-0.53,0.72,0.88,-0.46,1.51,-0.75,-0.23,-0.89,0.46,153.12,168.37,142.61,290.34
-0.13,-2.59,1.6,-0.94,0.24,0.26,0.39,-0.46,0.34,0.78,-34.02,97.14,25.98,0.64
-0.23,-0.55,0.56,-0.55,0.82,-0.63,1.44,-0.25,0.04,0.12,115.08,141.57,90.62,6.07
0.1,-1.04,1.89,-1.33,-0.31,0.53,-1.01,0.88,1.1,0.41,83.63,159.25,234.26,246.93
0.74,-0.12,-0.98,-1.23,0.79,1.02,-0.9,0.49,-0.6,-1.52,9.42,-75.14,-79.6,-3.1
0.54,0.02,2.87,-0.93,-1.79,0.59,2.45,0.79,-0.21,-1.4,306.34,207.94,350.28,293.41
-0.54,0.99,1.51,-0.09,0.57,0.26,0.1,-0.71,1.1,0.02,203.06,222.25,229.39,284.52
-0.68,-0.1,0.42,-0.57,-0.27,0.93,-1.54,0.23,0.41,0.75,97.65,92.6,95.87,149.79
-0.77,-0.5,0.58,-1.47,0.07,-0.03,0.39,1.58,-0.81,1.78,293.3,213.27,201.27,49.29
-0.66,1.74,0.65,-0.53,1.01,1.68,0.47,-0.85,0.02,-0.67,308.73,180.88,107.12,234.62
0.26,0.16,1,0.89,-0.14,-1.5,0.77,-2.93,0.66,-0.25,-114.68,47.79,-3.82,-12.37
-0.09,-0.27,0.16,1.13,0.22,-1.02,-0.77,1.49,-0.16,0.4,79.49,156.57,280.67,181.03
-1.13,0.98,0.02,-0.98,1.12,-0.81,1.59,-0.25,-0.38,0.93,278.74,199.7,110.02,-32.5
1.7,-1.62,-1.31,0.87,-0.65,0.35,0.22,1.79,-0.87,-0.59,88.36,72.43,145.27,155.62
-0.67,-1.59,-0.03,-0.34,0.52,-0.1,1.17,0.85,-0.49,-0.01,75.83,75.57,42.9,-68.3
0.96,1.22,0.78,-0.15,-0.68,-2.6,-0.86,-1.54,0.08,0.29,-112.02,14.4,83.32,-12.87
-0.38,-1.38,0.53,-0.28,-0.74,0.9,-2.37,0.3,-1.1,-0.11,-157,-105.84,-98.72,-50.39
-0.26,0.76,-0.63,1.33,2.23,0.22,-0.12,-1.01,0.68,-1.34,31.22,100.35,35.02,168.98
1.5,-0.59,-1.16,0.88,0.56,0.68,-0.85,-0.03,-0.03,-1.19,-31.27,15.73,16.06,168.58
0.66,-1.62,-0.24,-0.37,1.1,-0.74,0.64,0.28,-0.1,-0.02,-14.84,81.07,39.31,-23.58
1.19,0.45,-0.62,-0.06,-1.39,0.04,0.14,-0.96,0.41,-1.26,6.65,-37.02,4.8,85.71
-0.22,0.73,-0.34,0.66,-1.52,0.07,-0.78,-0.41,0.43,-0.34,47.8,12.88,85.32,123.87
-0.82,0.53,-0.15,0.43,-1.01,-0.1,-1.55,-0.4,-1.47,1.26,50.27,25.54,-15.53,-39.85
0.3,0.83,0.82,0.17,-1.63,0.16,1.33,-0.58,-0.7,-0.48,212.51,120.11,139.34,141.03
-1.45,0.14,0.63,0.05,-0.51,1.01,0.28,-0.94,-2.38,0.24,108.71,-3.34,-109.09,-133.98
0.02,0.95,0.38,0.07,0.9,1.18,-0.11,-0.84,-0.51,1.15,297.77,273.26,145,252.46
-1.03,-0.22,0.85,-0.38,-2.15,0.45,0.1,-0.66,-1.58,1.97,170.57,93.39,13.67,-55.55
-0.63,0.08,-0.59,-0.98,-2.18,-1.24,-0.65,0.9,1.8,0.42,32.15,3.49,153.11,23.66
0.6,-1.26,0.27,-0.78,1.05,1.15,-0.34,-0.59,-0.45,-2.78,-188.71,-170.46,-180.38,-67.66
-0.05,-0.22,-0.39,1.03,0.28,-1.69,0.28,-1.13,-0.45,0.41,-66.17,41.05,0.1,-89.8
-0.44,-0.96,-1.05,-0.1,-0.31,-0.14,-0.37,-0.2,-1.71,0.54,-33.26,-73.09,-160.97,-219.39
0.41,0.46,-0.17,-0.2,1.86,-2.16,-0.13,0.65,1.82,0.22,80,213.13,285,178.89
0.1,-0.2,0.33,-0.18,-2.59,0.74,0.41,1.3,0.1,0.67,286.03,178.59,277.89,254.32
-2.12,-0.37,-0.03,-1.24,0.18,-0.63,-0.31,-1.34,0.76,-0.37,-164.86,-157.01,-216.72,-293.21
-0.71,0.99,-0.54,-2.02,-0.28,-0.88,1.74,1.13,0.5,1.32,384.95,233.15,235.77,45.6
-0.02,1.08,0.34,-0.67,-1.19,0.67,0.36,-0.19,-0.05,0.44,285.92,163.79,163.35,189.41
0.8,2.63,0.28,1.15,-0.75,1.09,-0.29,-1.01,0.54,-0.5,320.34,239.53,273.69,482.53
-1.29,1.96,0.72,-0.85,0.61,-0.61,0.79,-0.73,0.85,-0.34,215.21,138.74,147.05,88.03
-0.52,-0.5,0.08,-0.02,0.31,-0.69,-0.95,0.71,1.21,0.36,7.15,101.49,168.73,126.23
-0.2,-1.11,1.22,-0.01,0.62,0.24,-0.06,-1.46,0.2,0.37,-40.53,93.12,-2.98,41.09
-0.39,-1.47,0.9,0.34,-2.19,0.88,-1.22,-1.01,-0.46,-0.27,-162.72,-107.82,-110.62,-43.44
-0.95,-0.56,-0.86,0.5,0.16,0.31,1.61,0.16,-1.96,0.21,167.06,72.21,-45.03,-123.81
-1.62,-0.76,-0.22,0.57,-0.35,1.14,-0.29,1.47,0.85,0.86,239.38,183.66,204.16,231.4
-0.78,-1.11,1.65,0.14,-1.76,-1.18,0.97,0.03,0.56,2.39,167.72,261.53,278.55,115.57
0.91,-0.12,-0.28,-0.18,1.35,-0.81,0.63,-1.44,-0.53,0.52,34.49,121.1,-8.38,-18.84
-0.92,0.61,-0.73,-1.55,-0.06,-1.77,1.75,-0.81,-0.23,0.12,73.96,-14.9,-80.1,-278.56
0.82,0.18,0.84,-0.06,-0.16,-0.16,0.92,-1.91,-1.21,-1.31,-25.38,-30.89,-88.66,-55.49
-0.95,0.33,0.17,-0.99,-0.93,1.05,-0.61,-0.78,1.37,-0.8,29.66,-42.2,-29.98,65.02
-1.74,-0.91,0.43,-0.19,0.56,-0.54,-0.38,0.16,-0.98,-0.15,-98.22,-60.54,-83.95,-210.05
-0.5,0.42,0.15,0.23,3.29,-0.36,0.94,-1.02,0.82,-1.21,67.01,132.32,50.06,88.82
0.9,-0.6,1.56,1.4,0.84,-0.62,0.32,1.69,0.27,-1.02,120.4,262.41,430.34,394.14
1.09,-0.53,1.1,-0.36,1.23,-1.73,0.54,1.1,-1.1,0.44,102.22,205.67,261.86,83.8
-1.36,0.32,0.84,0.58,-0.38,0.86,0.63,1.8,-1,0.01,329.52,216.65,295.14,221.37
-0.96,-0.04,0.35,-1.43,-0.29,0.49,-1.35,-1.18,-0.34,0.82,-20.33,-42.96,-138.74,-117.49
1.71,0.17,-0.62,0.45,0.47,1.4,-0.83,-0.4,0.78,-1.65,49.74,71.15,82.9,317.47
-0.39,0.41,0.79,1.41,-0.06,-0.03,0.94,-1.69,-0.11,0.5,150.81,199.47,113.5,152.78
-0.73,0.09,1.08,-0.13,-1.13,-0.29,-0.38,-0.06,-0.11,-0.04,41.64,38.87,107.26,42.3
-0.73,0.74,-0.36,-1.03,-0.22,0.55,-1.39,1.13,1.1,0.25,177.22,93.91,169.85,187.84
-0.79,-0.43,0,0.84,0.06,-0.3,1.51,0.97,1.17,-0.28,205.52,207.82,267.08,210.01
-0.14,-0.26,-0.92,2.04,0.11,-1.65,1.37,0.04,1.27,-1.29,-10.78,69.26,168.73,96.9
1.75,1.56,-0.17,0.33,-0.41,-0.3,-0.58,-1.71,0.16,-1.13,10.06,33.96,53.66,175.21
-1.31,0.24,1.26,-0.86,-1.48,-0.09,0.82,0.03,-0.09,0.11,159.21,71.58,114.31,7.58
-1.52,0.28,0.77,0.35,-0.37,0.12,-1.51,-0.89,-0.57,-0.37,-92.69,-84.79,-68.52,-73.1
-2.44,-0.91,1.32,-0.87,0.18,-0.59,-0.35,-0.68,-0.51,0.99,-71.65,-29.04,-93.74,-233.31
-1.03,-1.37,0.12,0.33,-1.01,1.28,0.32,1.91,-1.67,-0.77,121.59,5.85,64.17,12.36
0.98,-0.44,0.6,2.76,1.31,-0.43,-0.12,-0.27,-0.11,-1.1,-16.21,162.9,219.51,292.78
-2.54,0.48,0.89,0.62,0.51,2.54,-0.97,0.93,0.56,-0.36,269.32,168.69,184.65,318.43
-0.27,-0.13,-1.23,0.39,0.67,-0.17,0.08,0.85,2.45,2.26,324.99,365.93,344.61,364.18
0.56,1.3,0.27,-0.46,0.54,1.71,0.46,0.25,-0.74,-0.23,390.98,244.13,206.93,327.05
-0.08,0.56,-0.1,-0.58,-0.4,0.12,-0.11,-1.23,0.28,0.65,107.95,93.28,11.62,53.42
0.51,0.93,-0.12,0.24,-1.94,-1.2,0.58,0.52,0.41,1.8,307.71,269.01,349.17,240.78
0.25,-0.39,0.57,1.59,-0.11,0.1,-1.21,-1.53,0.33,0.09,-83.99,67.12,51.5,162.57
0.55,-0.26,1.8,-1.72,-0.36,-1.65,0.15,0.3,0.91,1.69,140.24,240.28,300.39,141.09
1.02,-0.78,-0.87,-0.06,0.31,-0.13,0.24,0.26,-1.66,0.09,56.14,37.41,-4.59,-41.98
-1.19,0.57,0.57,0.53,-0.55,0.4,-1.89,0.61,0.15,2.6,251.91,272.35,281.07,286.3
-1.97,-0.32,1.03,1.77,0.05,-0.37,-1.11,-1.9,2.06,-0.35,-174.96,7.28,10.34,82.08
-0.22,0.78,-0.92,-0.32,-0.54,-0.56,0.56,0.51,-0.19,1.77,307.99,228.13,198.31,107.08
0.23,-0.55,-0.33,-0.48,-1.33,2.66,1,-0.09,0.65,0.73,370.62,231.9,134.5,307.22
0.88,-0.22,-0.14,0.33,-1.22,-1.12,-0.66,-1.07,0.46,-0.81,-177.15,-84.89,-16.15,-17.4
-1.12,-0.09,-1.57,-0.13,-1.75,0.37,0.8,-2.16,1.58,-0.22,-12.07,-94.81,-203.7,-121.97
-2.41,0.77,-0.22,0.4,0.74,-1.38,0.74,0.19,-0.19,1.81,217.41,200.35,149.94,-43.49
0.82,0.48,-0.37,0.15,-0.01,0.85,0.41,0.67,1,-0.64,259.69,206.61,262.66,359.75
1.63,-1.37,1.34,0.21,1.63,1.03,-0.44,0.81,-1.61,-1.45,20.8,101.66,123.41,205.52
1.33,-0.43,1.44,-0.95,0.39,-1.19,-0.99,-0.29,-0.42,-1.74,-215.94,-87.11,19.99,-36.95
-1.07,0.39,-0.24,-1.49,-1.27,-0.36,0.7,1.26,0.1,1.24,289.89,141.18,168.41,24.36
-2.39,-1.08,-1.61,2.72,1.52,1.85,0.92,0.4,0.89,0.18,233.33,220.73,78.94,215.8
-0.34,0.83,-1.55,0.55,-1.51,-0.43,1.1,-0.07,0.8,-0.23,177.93,75.88,110.82,81.99
-0.83,-0.66,1.71,-0.07,-0.74,-1.08,-0.1,-1.15,-0.44,1.13,-49.43,59.87,30.12,-71.67
-0.19,0.53,1,-2.03,-0.28,1.61,-0.53,-0.18,-0.18,0.41,224.59,118.15,75.7,147.64
-1.1,-0.79,0.7,1.02,-0.42,-1.08,1.71,1.12,-0.52,-1.05,60.92,73.41,178.54,-5.2
0.28,2.02,0.82,-1.05,0.46,-2.2,0.34,0.2,-0.05,-0.47,131.31,117.51,236.18,57.99
-1.54,1.9,0.9,-1.17,0.47,-0.18,1.49,-1.07,1.05,1.18,378.06,284.32,203.21,148.75
0.81,-0.95,-0.19,0.99,-1.68,-0.91,-0.84,1.4,0.34,1.15,75.11,157.06,288.07,222.67
-0.94,0.21,-1.37,-0.84,1.56,-0.26,-0.66,0.46,-0.4,0.6,81.75,47.89,-25.41,-92.08
-1.04,-0.33,0.41,-0.74,0.01,1.76,-1.21,-0.97,1.53,-0.87,-18.77,-28.1,-62.34,101.64
1.79,2.23,-0.4,1.36,-0.16,1.37,0.03,-1.66,0.15,-0.1,331.93,273.61,213.98,477.98
-1.54,-0.28,-1.76,1.69,-0.09,0.18,-0.48,0.27,-0.48,1.91,163.29,149.29,46.17,43.14
-0.69,0.03,-0.69,-1,0.2,0.6,-1.59,-0.51,-0.69,-0.78,-108.81,-163.41,-205.23,-161.21
-0.76,0.74,-1.4,1.44,-1.95,-0.05,0.12,0.14,-1.2,-0.67,74.23,-61.29,0.97,-47.78
-0.29,0.04,-1.3,-0.45,-2.05,1.41,0.98,0.42,0.78,-1.42,165.46,-19.7,20.32,87.2
-1.38,-0.17,-0.76,-0.91,-0.8,-0.29,-1.55,-0.34,-0.44,0.76,-81.67,-116.62,-155.15,-222.68
0.53,0.51,1,2.73,-1.37,-1.91,-1.59,0.58,-1.32,-0.01,-61.39,84.17,291.37,173.75
-0.03,-0.4,-2.98,1.09,-1.15,1.03,0.27,0.4,0.16,-0.84,93.6,-39.81,-57.41,32.92
-0.22,0.08,-0.87,-0.43,0.33,0.08,0.19,-0.19,-1.31,0.48,115.29,43.23,-42.57,-82.6
-0.03,2.33,-0.69,-0.13,0.11,-1.76,-1.73,-1.94,-1.19,1.65,7.93,26.53,-43.26,-112.73
-0.39,-1.31,0.33,-0.68,-0.75,0.14,-0.63,-0.79,-0.1,-0.04,-124.19,-88.86,-121.79,-116.98
-0.36,0.59,1.2,0.87,0.46,2.2,0.04,-0.99,-1,0.01,263.58,219.51,122.55,297.58
0.28,0.08,-0.63,-1.57,-0.12,1.13,0.21,0.62,1.18,1.07,328.94,230.05,181.75,246.64
0.15,0.38,-0.02,1.23,-0.75,-0.73,0.44,0.98,-1.28,1.55,281.84,268.31,309.51,191.89
0.66,-0.07,1.18,1.27,0.6,1.22,-0.96,-1.6,-0.92,0.4,64.13,172.22,74.09,247.24
-0.35,0.63,-0.59,0.6,-0.26,-0.52,-0.78,-0.07,-1.3,-0.81,-39.02,-70.11,-28.64,-75.32
-0.91,0.39,-1.88,-0.55,-1.95,1.02,0.22,1.42,0.4,-0.94,190.07,-49.54,33.4,36.75
-1.2,0.9,-0.85,-0.34,-1.21,0.16,-1.63,1.18,-1.22,-0.24,61.56,-83.2,6.76,-65.97
0.58,0.78,-1.5,-0.14,-1.06,0.07,0.89,0.21,-1.52,1.15,299.31,151.3,86.61,45.92
0.37,1.22,-0.4,1.62,-0.54,0.02,-0.41,0.1,-0.93,-1.76,49.2,13.16,115.88,159.73
-0.2,-0.57,0.18,-0.53,0.95,0,1.51,1.55,0.21,0.67,324.43,288.34,285.22,203.57
-0.32,-0.75,1.31,-1.55,-0.02,3.43,0.24,0.6,1.67,0.05,375.85,273.46,223.19,441.36
-0.46,-0.16,0.28,1.47,0,1.22,-0.71,1.48,-1.09,-0.37,184.49,151.69,217.34,267.62
1.14,0.65,-2.25,-0.36,-0.76,2.17,0.63,-0.07,-0.23,-0.06,342.94,143.93,18.41,213.84
0.39,-1.5,-0.49,-1.44,0.12,-1.17,0.21,1.22,0.7,0.54,13.74,66.76,102.73,-32.63
0.93,-1.26,-0.73,1.59,0.73,-1.92,0.71,0.7,-1.09,1.18,53.77,196.45,183.48,36.36
0.54,0.04,-1.46,1.85,0.45,-0.38,-1.83,0.16,-0.74,0.57,-8.62,71.58,73.05,123.02
-0.22,0.19,0.85,-0.38,0.34,-0.56,2.46,-1.36,-0.79,1.13,264.56,242.2,94.04,5.97
-0.11,-1.61,-0.21,1.63,-0.02,-0.94,1.08,0.57,1.54,0.46,66.25,216.47,251,205
-1.23,0.85,-0.41,-1.47,-0.51,-0.01,-0.13,0.45,0.55,-0.73,99.4,-32.79,19.23,-47.53
-0.13,-0.33,-0.32,-0.94,-0.03,-0.26,-1.84,2.12,-0.83,-0.69,-28.07,-65.94,73.86,-17.78
-0.8,-0.59,-0.34,-0.78,1.9,1.02,-0.28,-0.5,-0.43,0.44,87.02,80.98,-88.62,-24.5
1.28,2.66,-0.13,0.45,-0.75,-1.45,0.75,1.34,-0.11,-0.82,329.41,235.51,428.98,338.8
-0.51,-0.55,-0.36,0.51,-1.06,0.79,0.12,0.14,0.23,-0.55,74.73,29.53,44.89,92.14
-0.73,-0.43,0.61,0.41,-0.52,-0.11,0.46,-1.17,1.33,-1.18,-67.02,-9.83,9.39,43.6
0.88,-0.59,1.53,0.25,-0.77,0.37,-1.25,0.46,0.96,-0.46,20.45,129,258.8,335.99
0.14,-1.51,-1.59,-0.32,0.79,-1.11,-0.79,0.14,-1.05,-0.58,-249.6,-175.75,-211.06,-300
1.11,-0.24,-2.1,-0.02,-0.86,0.54,-0.25,1.74,0.63,0.57,244.27,165.79,219.76,261.42
-0.74,-2.21,0.8,-0.14,-0.07,0.17,1.23,-0.97,0.31,-0.53,-94.85,-6.55,-96.11,-105.46
-0.73,-0.13,-0.13,1.31,0.96,-0.59,0,-0.69,-0.16,1,73.03,167.33,88.45,63.9
-1.48,0.13,-0.38,0.28,0,-0.01,-1.48,0.84,-0.17,-0.67,-32.96,-54.01,11.77,-25.85
0.63,-0.58,-0.05,-1.71,-1.3,2.11,-0.79,0.76,-0.71,-1.55,50.39,-107.06,-50.18,42.7
-0.29,-0.22,-0.4,-1.31,-0.69,-1.36,0.56,-0.55,0.94,0.1,-22.9,-16.05,-12.36,-128.52
-1.75,-0.8,2.22,-0.74,-0.42,0.18,-0.22,-1.64,-0.01,0.65,-47.24,15.75,-54.62,-90.32
1.9,-0.2,-0.41,2.27,1.78,-1.46,-0.32,-1.5,-0.87,0.15,-76.32,147.24,83.53,113.06
-1.51,1.3,-0.34,-0.02,-0.6,0.36,0.32,1.15,0.83,-0.34,290.13,143.01,230.28,197.79
-0.19,-1.44,1.76,0.56,0.68,2.25,-0.41,0.18,0.75,-0.05,162.65,235.65,211.22,395.29
-0.3,-0.51,0.49,0.73,0,0.48,-0.74,-1.37,0.2,0.97,26.43,119.84,31.88,119.15
0.59,1.55,0.04,0.3,0.64,0.28,0.21,-0.64,0.15,-0.06,257.75,223.86,195.49,279.28
-0.97,-0.51,-0.27,-1.19,1.18,-0.18,0.15,-0.38,0.47,0.58,58.22,62.08,-37.1,-73.47
-0.71,0.59,0.21,0.97,-0.69,-1.18,0.74,-1.28,1.66,-0.79,-7.76,56.13,104.66,82.28
0.9,0.89,-1.01,0.22,-0.18,0.4,0.01,-0.86,0.14,1.1,242.53,204.92,120.86,214.57
-0.56,0.82,-0.74,0.31,-1.54,1.01,-1.6,-0.28,0.02,2.49,259.49,186.39,138.75,212.15
-0.3,-2.14,1.63,-0.85,-0.78,-0.2,-1.01,-0.45,-0.2,1.8,-74.52,63.2,19.34,-43.11
-2.72,0.03,-1.06,-0.76,0.97,0.42,0.03,-0.87,0.47,-0.18,1.79,-74.87,-214.28,-227.41
2.13,-1.81,-0.96,-0.25,0.49,0.52,0.98,-0.03,1.3,0.04,119.07,183.34,120.88,234.27
0.43,0.39,-0.98,1.42,-0.42,-1,-1.06,0.34,0.97,-0.07,19.83,88.88,197.23,201.17
-0.74,-1.06,0.16,-1.32,-0.62,-0.52,0.14,1.84,-0.84,-0.08,53.68,-7.16,67.78,-114.05
0.8,-1.11,1.85,0.43,0.1,-0.02,-0.59,0.29,-1.12,-0.97,-63.66,49.62,129.46,115.22
1.5,-0.86,1.38,-0.43,-0.55,-0.3,0.11,-0.26,0.86,-1.63,-76.54,29.66,133.79,174.85
0.37,-0.29,-0.59,-0.57,1.08,0.56,0.37,0.78,0.02,-0.38,170.49,128.11,104.94,135.79
0.56,-0.39,-1.28,-0.86,0.42,-0.73,0.74,-1.31,1.08,-0.01,-16.88,17.28,-73.12,-74.79
-1.62,0.05,-2.02,2.04,-0.01,-0.05,0.44,0.03,-0.56,0.91,153.06,110.51,22.89,-15.71
1.31,-0.9,-0.05,-0.76,-0.9,-1.08,-0.86,-0.42,-0.83,0.07,-141.63,-75.54,-53.11,-120.35
1.9,-0.25,-0.74,0.86,0.96,0.28,-1.6,0.28,0.92,0.96,122.14,255.31,250.12,396.54
0.24,-1.07,0.94,-1.37,0.48,-0.48,-1.43,0.08,1.3,-0.76,-169.44,-36.9,34.82,24.98
0.54,-1.37,1.6,1.07,1.21,-1.41,-1.01,-0.78,-0.17,-0.2,-214.94,56.65,80.37,42.94
0.11,-0.46,1.96,-1.48,0.29,-0.13,0.39,-0.84,0.44,0.72,104.4,168.86,122.58,99.35
-0.01,-0.36,0.25,2.08,1.78,-0.72,0.77,0.69,-0.78,0.04,149.58,249.91,260.53,207.45
-0.9,-0.6,0.13,-0.33,-0.6,-0.2,0.84,-1.26,-0.44,-0.4,-45.71,-68.46,-135.58,-181.3
1.07,1.53,0.37,-1,-0.7,0.26,-0.63,-1.15,0.33,0.42,181.78,144.9,125.7,210.15
-1.43,0.94,-1.43,-1.03,-0.06,-1.05,0.09,-0.86,0.33,0.61,42.13,-41.92,-107.85,-199.99
-0.14,0.84,0.13,0.62,0.1,0.18,0.61,0.17,-0.33,0.77,307.98,264.1,237.55,241.5
0.37,-0.15,0.47,-0.8,-1.39,-1.14,1.08,-0.89,-0.14,1.07,99.92,102.28,72.06,-29.96
-0.6,-1.21,-0.21,0.69,1.51,-0.18,0.12,0.83,0.41,2.6,245.21,357.21,258.47,215.99
2.13,-0.19,-0.37,0.24,0.97,-0.54,0.41,-0.75,0.03,0.76,135.66,233.86,156.15,220.77
-0.38,1.95,-0.46,-0.95,-0.18,1.07,0.2,-0.5,-0.59,0.57,345.83,155.06,84.68,133.99
